省份,城市,城市url,新房url,二手房url
广东,雷州,http://leizhou.fang.com/,http://leizhou.newhouse.fang.com//house/s,http://leizhou.esf.fang.com/
广西,南宁,http://nn.fang.com/,http://nn.newhouse.fang.com//house/s,http://nn.esf.fang.com/
广西,柳州,http://liuzhou.fang.com/,http://liuzhou.newhouse.fang.com//house/s,http://liuzhou.esf.fang.com/
广西,桂林,http://guilin.fang.com/,http://guilin.newhouse.fang.com//house/s,http://guilin.esf.fang.com/
广西,玉林,http://yl.fang.com/,http://yl.newhouse.fang.com//house/s,http://yl.esf.fang.com/
广西,贵港,http://guigang.fang.com/,http://guigang.newhouse.fang.com//house/s,http://guigang.esf.fang.com/
广西,北海,http://bh.fang.com/,http://bh.newhouse.fang.com//house/s,http://bh.esf.fang.com/
广西,河池,http://hechi.fang.com/,http://hechi.newhouse.fang.com//house/s,http://hechi.esf.fang.com/
广西,百色,http://baise.fang.com/,http://baise.newhouse.fang.com//house/s,http://baise.esf.fang.com/
广西,梧州,http://wuzhou.fang.com/,http://wuzhou.newhouse.fang.com//house/s,http://wuzhou.esf.fang.com/
广西,贺州,http://hezhou.fang.com/,http://hezhou.newhouse.fang.com//house/s,http://hezhou.esf.fang.com/
广西,钦州,http://qinzhou.fang.com/,http://qinzhou.newhouse.fang.com//house/s,http://qinzhou.esf.fang.com/
广西,防城港,http://fangchenggang.fang.com/,http://fangchenggang.newhouse.fang.com//house/s,http://fangchenggang.esf.fang.com/
广西,来宾,http://laibin.fang.com/,http://laibin.newhouse.fang.com//house/s,http://laibin.esf.fang.com/
广西,崇左,http://chongzuo.fang.com/,http://chongzuo.newhouse.fang.com//house/s,http://chongzuo.esf.fang.com/
广西,横县,http://hengxian.fang.com/,http://hengxian.newhouse.fang.com//house/s,http://hengxian.esf.fang.com/
广西,宾阳,http://gxby.fang.com/,http://gxby.newhouse.fang.com//house/s,http://gxby.esf.fang.com/
广西,邕宁,http://yongning.fang.com/,http://yongning.newhouse.fang.com//house/s,http://yongning.esf.fang.com/
广西,东兴,http://dongxing.fang.com/,http://dongxing.newhouse.fang.com//house/s,http://dongxing.esf.fang.com/
广西,钟山,http://zhongshan.fang.com/,http://zhongshan.newhouse.fang.com//house/s,http://zhongshan.esf.fang.com/
贵州,贵阳,http://gy.fang.com/,http://gy.newhouse.fang.com//house/s,http://gy.esf.fang.com/
贵州,遵义,http://zunyi.fang.com/,http://zunyi.newhouse.fang.com//house/s,http://zunyi.esf.fang.com/
贵州,黔东南,http://qiandongnan.fang.com/,http://qiandongnan.newhouse.fang.com//house/s,http://qiandongnan.esf.fang.com/
贵州,安顺,http://anshun.fang.com/,http://anshun.newhouse.fang.com//house/s,http://anshun.esf.fang.com/
贵州,黔南,http://qiannan.fang.com/,http://qiannan.newhouse.fang.com//house/s,http://qiannan.esf.fang.com/
贵州,毕节,http://bijie.fang.com/,http://bijie.newhouse.fang.com//house/s,http://bijie.esf.fang.com/
贵州,铜仁,http://tongren.fang.com/,http://tongren.newhouse.fang.com//house/s,http://tongren.esf.fang.com/
贵州,六盘水,http://liupanshui.fang.com/,http://liupanshui.newhouse.fang.com//house/s,http://liupanshui.esf.fang.com/
贵州,黔西南,http://qianxinan.fang.com/,http://qianxinan.newhouse.fang.com//house/s,http://qianxinan.esf.fang.com/
贵州,开阳,http://kaiyang.fang.com/,http://kaiyang.newhouse.fang.com//house/s,http://kaiyang.esf.fang.com/
贵州,修文,http://xiuwen.fang.com/,http://xiuwen.newhouse.fang.com//house/s,http://xiuwen.esf.fang.com/
贵州,清镇,http://qingzhen.fang.com/,http://qingzhen.newhouse.fang.com//house/s,http://qingzhen.esf.fang.com/
甘肃,兰州,http://lz.fang.com/,http://lz.newhouse.fang.com//house/s,http://lz.esf.fang.com/
甘肃,张掖,http://zhangye.fang.com/,http://zhangye.newhouse.fang.com//house/s,http://zhangye.esf.fang.com/
甘肃,天水,http://tianshui.fang.com/,http://tianshui.newhouse.fang.com//house/s,http://tianshui.esf.fang.com/
甘肃,庆阳,http://qingyang.fang.com/,http://qingyang.newhouse.fang.com//house/s,http://qingyang.esf.fang.com/
甘肃,平凉,http://pingliang.fang.com/,http://pingliang.newhouse.fang.com//house/s,http://pingliang.esf.fang.com/
甘肃,酒泉,http://jiuquan.fang.com/,http://jiuquan.newhouse.fang.com//house/s,http://jiuquan.esf.fang.com/
甘肃,白银,http://baiyin.fang.com/,http://baiyin.newhouse.fang.com//house/s,http://baiyin.esf.fang.com/
甘肃,武威,http://wuwei.fang.com/,http://wuwei.newhouse.fang.com//house/s,http://wuwei.esf.fang.com/
甘肃,金昌,http://jinchang.fang.com/,http://jinchang.newhouse.fang.com//house/s,http://jinchang.esf.fang.com/
甘肃,陇南,http://longnan.fang.com/,http://longnan.newhouse.fang.com//house/s,http://longnan.esf.fang.com/
甘肃,嘉峪关,http://jiayuguan.fang.com/,http://jiayuguan.newhouse.fang.com//house/s,http://jiayuguan.esf.fang.com/
甘肃,定西,http://dingxi.fang.com/,http://dingxi.newhouse.fang.com//house/s,http://dingxi.esf.fang.com/
甘肃,甘南,http://gannan.fang.com/,http://gannan.newhouse.fang.com//house/s,http://gannan.esf.fang.com/
甘肃,临夏,http://linxia.fang.com/,http://linxia.newhouse.fang.com//house/s,http://linxia.esf.fang.com/
甘肃,永登,http://yongdeng.fang.com/,http://yongdeng.newhouse.fang.com//house/s,http://yongdeng.esf.fang.com/
甘肃,榆中,http://yuzhong.fang.com/,http://yuzhong.newhouse.fang.com//house/s,http://yuzhong.esf.fang.com/
海南,海南,http://hn.fang.com/,http://hn.newhouse.fang.com//house/s,http://hn.esf.fang.com/
海南,三亚,http://sanya.fang.com/,http://sanya.newhouse.fang.com//house/s,http://sanya.esf.fang.com/
海南,东方,http://dongfang.fang.com/,http://dongfang.newhouse.fang.com//house/s,http://dongfang.esf.fang.com/
海南,儋州,http://danzhou.fang.com/,http://danzhou.newhouse.fang.com//house/s,http://danzhou.esf.fang.com/
海南,万宁,http://wanning.fang.com/,http://wanning.newhouse.fang.com//house/s,http://wanning.esf.fang.com/
海南,文昌,http://wenchang.fang.com/,http://wenchang.newhouse.fang.com//house/s,http://wenchang.esf.fang.com/
海南,琼海,http://qionghai.fang.com/,http://qionghai.newhouse.fang.com//house/s,http://qionghai.esf.fang.com/
河南,郑州,http://zz.fang.com/,http://zz.newhouse.fang.com//house/s,http://zz.esf.fang.com/
河南,洛阳,http://ly.fang.com/,http://ly.newhouse.fang.com//house/s,http://ly.esf.fang.com/
河南,焦作,http://jiaozuo.fang.com/,http://jiaozuo.newhouse.fang.com//house/s,http://jiaozuo.esf.fang.com/
河南,平顶山,http://pingdingshan.fang.com/,http://pingdingshan.newhouse.fang.com//house/s,http://pingdingshan.esf.fang.com/
河南,驻马店,http://zhumadian.fang.com/,http://zhumadian.newhouse.fang.com//house/s,http://zhumadian.esf.fang.com/
河南,新乡,http://xx.fang.com/,http://xx.newhouse.fang.com//house/s,http://xx.esf.fang.com/
河南,南阳,http://nanyang.fang.com/,http://nanyang.newhouse.fang.com//house/s,http://nanyang.esf.fang.com/
河南,信阳,http://xinyang.fang.com/,http://xinyang.newhouse.fang.com//house/s,http://xinyang.esf.fang.com/
河南,开封,http://kaifeng.fang.com/,http://kaifeng.newhouse.fang.com//house/s,http://kaifeng.esf.fang.com/
河南,漯河,http://luohe.fang.com/,http://luohe.newhouse.fang.com//house/s,http://luohe.esf.fang.com/
河南,安阳,http://anyang.fang.com/,http://anyang.newhouse.fang.com//house/s,http://anyang.esf.fang.com/
